"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ72479 551",12,"5GG","5A",0,"HR","B",6,-2.2,289
"SQ51469 071",14.4,"5GG","4C",0,"HGI","F",10,0.8,259
"SQ68199 061",19.1,"3GB","4C",0,"HR",,5,11.6,256
"SQ53846 551",11.9,"5GG","4C",0,"HGI","F",12,-2.6,290
"SQ51942 531",13.1,"5GG","5A",0,"CR",,11,9.7,281
"SQ68009 031",12.4,"3GB","4C",1,"GI","D",5,7.6,277
"SQ69770 521",5.9,"3GB","5A",0,"CR",,5,0.5,260
"SQ52700 531",8.3,"3GB","4C",1,"CR",,11,-3.5,265
"SQ51850 031",12.8,"5GG","5A",0,"PO","D",11,-2.2,263
"SQ64370 041",3.5,"3GB","4C",1,"CR",,3,-6.9,287
"SQ71125 011",14,"5GG","4C",0,"GA",,6,0.7,291
"SQ55474 551",1.8,"3GB","4C",1,"GI","B",12,-8,166
"SQ79425 541",6.5,"3GB","5A",1,"FH","D",9,-3.5,296
"SQ51458 521",14.1,"3GB","5A",1,"CR",,10,7.1,220
"SQ51728 041",10.5,"5GG","5A",0,"GI",,11,-4.7,299
"SQ51138 061",18.8,"5GG","4C",0,"CR",,10,2.5,296
"SQ63752 511",18.5,"5GG","4C",0,"PO","D",3,6,280
"SQ79144 541",16.4,"5GG","5A",0,"HGI","D",9,10.7,216
"SQ51633 521",17.5,"5GG","5A",0,"GI","B",11,5.4,279
"SQ54984 031",4.2,"3GB","4C",1,"GI","F",12,-1.5,290
"SQ74822 531",7.3,"3GB","5A",1,"FH",,7,2,284
"SQ72274 531",12.2,"3GB","5A",1,"CR",,6,7.3,287
"SQ60903 061",16.7,"5GG","5A",0,"HGI","F",2,5.7,272
"SQ68545 561",4.4,"3GB","5A",1,"CR",,5,-1.6,245
"SQ59987 041",8.3,"3GB","5A",1,"HR",,2,0,222
"SQ51138 511",19.3,"5GG","4C",0,"CR",,10,2.9,295
"SQ54142 521",16.9,"3GB","4C",0,"HR",,12,5.1,235
"SQ68484 551",17.3,"5GG","5A",0,"HR","B",5,10.5,297
"SQ52236 531",13.8,"5GG","4C",0,"HGI","F",11,-1.7,299
"SQ50231 511",16.9,"5GG","5A",0,"GA",,10,1.8,250
"SQ57040 031",13.3,"5GG","5A",0,"HR",,1,3.5,250
"SQ52736 541",14.6,"5GG","4C",0,"HGI","F",11,7.1,192
"SQ75531 551",14.7,"5GG","5A",0,"HR",,8,-1.5,239
"SQ51438 511",16.5,"5GG","5A",0,"FH",,10,8.8,288
"SQ71876 051",16.5,"3GB","5A",1,"FH",,6,15.7,242
"SQ59237 551",6.9,"3GB","4C",0,"GI","F",2,-6,262
"SQ59740 551",15.6,"3F1","4C",0,"HGI","D",2,-0.4,275
"SQ56724 011",4.1,"5GG","4C",1,"HR",,1,-4.7,273
"SQ70859 521",12.5,"5GG","5A",0,"CR",,6,3.2,275
"SQ73363 531",6.6,"3GB","4C",1,"HR","B",7,-4.2,293
"SQ59985 511",9.8,"3GB","4C",0,"GI","F",2,8,293
"SQ58276 531",1.3,"3GB","4C",1,"EG","F",1,-3.9,282
"SQ64628 051",13.5,"3GB","5A",0,"HR","D",4,3.5,297
"SQ58031 561",13.7,"5GG","5A",0,"HR","B",1,5.6,157
"SQ57876 541",9.1,"3GB","4C",1,"GI","F",1,1.3,285
"SQ53110 061",17.4,"5GG","5A",0,"CR",,11,10.7,269
"SQ80944 561",12.1,"5GG","5A",0,"HR",,9,-7,270
"SQ65708 521",15.6,"5GG","5A",0,"HGI","F",4,7.8,272
"SQ53102 021",3.3,"3GB","4C",1,"EG","F",11,-5.3,195
"SQ54099 531",17,"5GG","5A",0,"HR",,12,11.2,298
"SQ60437 031",11.1,"3GB","4C",1,"HR","F",2,1.2,224
"SQ51153 021",5.4,"5GG","5A",1,"GI","D",10,-7.7,211
"SQ54092 551",9.5,"3GB","4C",1,"GI","B",12,1.5,269
"SQ74081 531",19.1,"5GG","5A",0,"HR",,7,10.3,232
"SQ52220 521",12.7,"5GG","5A",0,"CR",,11,0.7,286
